Name,Assigned Male,Year,Assigned Female,Total
Tabitha,,1974,1.0,1.0
Tala,,1974,1.0,1.0
Tammi,,1974,1.0,1.0
Tamsin,,1974,1.0,1.0
Tabatha,,1974,1.0,1.0
Tasmin,,1974,1.0,1.0
Tansy,,1974,1.0,1.0
Syma,,1974,1.0,1.0
Stacey-Anne,,1974,1.0,1.0
Sue,,1974,1.0,1.0
Suzan,,1974,1.0,1.0
Suzannah,,1974,1.0,1.0
Suzi,,1974,1.0,1.0
Sula,,1974,1.0,1.0
Janet,1.0,1974,88.0,89.0
Julian,16.0,1974,1.0,17.0
Leon,16.0,1974,,16.0
Allen,15.0,1974,,15.0
Martyn,15.0,1974,,15.0
Nigel,15.0,1974,,15.0
Alisdair,14.0,1974,,14.0
Denis,14.0,1974,,14.0
Drew,14.0,1974,,14.0
Evan,14.0,1974,,14.0
Phillip,14.0,1974,,14.0
Frazer,13.0,1974,,13.0
Guy,13.0,1974,,13.0
Laurence,13.0,1974,,13.0
Lawrence,13.0,1974,,13.0
Magnus,13.0,1974,,13.0
Crawford,12.0,1974,,12.0
Finlay,12.0,1974,,12.0
Frederick,12.0,1974,,12.0
Gregg,12.0,1974,,12.0
Glenn,16.0,1974,,16.0
Dylan,16.0,1974,,16.0
Dale,16.0,1974,1.0,17.0
Alister,16.0,1974,,16.0
Arthur,23.0,1974,,23.0
Dominic,23.0,1974,,23.0
Ewen,23.0,1974,,23.0
Jon,23.0,1974,,23.0
Owen,22.0,1974,,22.0
Gregory,21.0,1974,,21.0
Jeffrey,21.0,1974,,21.0
Terry,20.0,1974,4.0,24.0
Damian,19.0,1974,,19.0
Karl,12.0,1974,,12.0
Geoffrey,19.0,1974,,19.0
Walter,19.0,1974,,19.0
Bernard,18.0,1974,,18.0
Desmond,18.0,1974,,18.0
Jack,18.0,1974,,18.0
Aaron,17.0,1974,,17.0
Archibald,17.0,1974,,17.0
Blair,17.0,1974,,17.0
Jeremy,17.0,1974,,17.0
Nathan,17.0,1974,,17.0
Harry,19.0,1974,,19.0
Roger,24.0,1974,,24.0
Kerr,12.0,1974,,12.0
Rodney,12.0,1974,,12.0
Toby,10.0,1974,1.0,11.0
Warren,10.0,1974,,10.0
Billy,9.0,1974,,9.0
Clive,9.0,1974,,9.0
Damien,9.0,1974,,9.0
Louis,9.0,1974,1.0,10.0
Mohammad,9.0,1974,,9.0
Neill,9.0,1974,,9.0
Noel,9.0,1974,1.0,10.0
Ralph,9.0,1974,,9.0
Sandy,9.0,1974,,9.0
Albert,8.0,1974,,8.0
Alun,8.0,1974,,8.0
Brett,8.0,1974,,8.0
Clifford,8.0,1974,,8.0
Eoin,8.0,1974,,8.0
Glyn,8.0,1974,,8.0
Imran,8.0,1974,,8.0
Ivor,8.0,1974,,8.0
Stefan,10.0,1974,,10.0
Scot,10.0,1974,,10.0
Nairn,10.0,1974,,10.0
Leonard,10.0,1974,,10.0
Victor,12.0,1974,,12.0
Carl,11.0,1974,,11.0
Daryl,11.0,1974,,11.0
Don,11.0,1974,,11.0
Edwin,11.0,1974,,11.0
Erik,11.0,1974,,11.0
Grahame,11.0,1974,,11.0
Ivan,11.0,1974,,11.0
Kyle,11.0,1974,,11.0
Mohammed,12.0,1974,,12.0
Leigh,11.0,1974,109.0,120.0
Maurice,11.0,1974,,11.0
Murdo,11.0,1974,,11.0
Nicolas,11.0,1974,,11.0
Steve,11.0,1974,,11.0
Allister,10.0,1974,,10.0
Clark,10.0,1974,,10.0
Darran,10.0,1974,,10.0
Dennis,10.0,1974,,10.0
Elliot,10.0,1974,,10.0
Lorne,11.0,1974,,11.0
Fergus,24.0,1974,,24.0
Antony,24.0,1974,,24.0
Rory,25.0,1974,,25.0
Philip,112.0,1974,,112.0
Raymond,120.0,1974,,120.0
Alistair,128.0,1974,,128.0
Duncan,130.0,1974,,130.0
Charles,131.0,1974,,131.0
Malcolm,137.0,1974,,137.0
Garry,139.0,1974,,139.0
Fraser,140.0,1974,,140.0
Donald,146.0,1974,1.0,147.0
Matthew,151.0,1974,,151.0
Edward,160.0,1974,,160.0
Daniel,169.0,1974,,169.0
Stewart,171.0,1974,,171.0
Joseph,172.0,1974,1.0,173.0
Nicholas,173.0,1974,,173.0
Gavin,179.0,1974,,179.0
Jonathan,184.0,1974,,184.0
Ross,187.0,1974,,187.0
Grant,187.0,1974,,187.0
Ronald,111.0,1974,,111.0
Ewan,98.0,1974,,98.0
Ryan,98.0,1974,,98.0
Francis,97.0,1974,,97.0
Roderick,56.0,1974,,56.0
Cameron,58.0,1974,,58.0
Russell,64.0,1974,,64.0
Angus,67.0,1974,,67.0
Greig,69.0,1974,,69.0
